,ccode,country,cname,cmark,year,wars,war,warl,onset,ethonset,durest,aim,casename,ended,ethwar,waryrs,pop,lpop,polity2,gdpen,gdptype,gdpenl,lgdpenl1,lpopl1,region,western,eeurop,lamerica,ssafrica,asia,nafrme,colbrit,colfra,mtnest,lmtnest,elevdiff,Oil,ncontig,ethfrac,ef,plural,second,numlang,relfrac,plurrel,minrelpc,muslim,nwstate,polity2l,instab,anocl,deml,empethfrac,empwarl,emponset,empgdpenl,emplpopl,emplmtnest,empncontig,empolity2l,sdwars,sdonset,colwars,colonset,cowwars,cowonset,cowwarl,sdwarl,colwarl
0,2.0,USA,USA,1.0,1945.0,0.0,0.0,0.0,0.0,0.0,,,,,,,140969.0,11.856295585632324,10.0,7.625999927520752,3.0,7.625999927520752,8.939318656921387,11.856295585632324,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.900001525878906,3.2148678302764893,6280.0,0.0,1.0,0.3569501042366028,0.49095702171325684,0.6909999847412109,0.125,3.0,0.5959999561309814,56.0,28.0,1.899999976158142,0.0,10.0,0.0,0.0,1.0,0.49367210268974304,0.0,0.0,6.797179698944092,11.979190826416016,3.2115721702575684,1.0,7.687119960784912,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,2.0,USA,USA,0.0,1946.0,0.0,0.0,0.0,0.0,0.0,,,,,,,141936.0,11.863131523132324,10.0,7.6539998054504395,3.0,7.625999927520752,8.939318656921387,11.856295585632324,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.900001525878906,3.2148678302764893,6280.0,0.0,1.0,0.3569501042366028,0.49095702171325684,0.6909999847412109,0.125,3.0,0.5959999561309814,56.0,28.0,1.899999976158142,0.0,10.0,0.0,0.0,1.0,0.3569501042366028,0.0,0.0,6.797179698944092,11.979190826416016,3.2148678302764893,1.0,10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
2,2.0,USA,USA,0.0,1947.0,0.0,0.0,0.0,0.0,0.0,,,,,,,142713.0,11.86859130859375,10.0,8.024999618530273,3.0,7.6539998054504395,8.942983627319336,11.863131523132324,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.900001525878906,3.2148678302764893,6280.0,0.0,1.0,0.3569501042366028,0.49095702171325684,0.6909999847412109,0.125,3.0,0.5959999561309814,56.0,28.0,1.899999976158142,0.0,10.0,0.0,0.0,1.0,0.3569500744342804,0.0,0.0,7.6539998054504395,11.863131523132324,3.2148678302764893,1.0,10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
3,2.0,USA,USA,0.0,1948.0,0.0,0.0,0.0,0.0,0.0,,,,,,,145326.0,11.886734962463379,10.0,8.270000457763672,3.0,8.024999618530273,8.990317344665527,11.86859130859375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.900001525878906,3.2148678302764893,6280.0,0.0,1.0,0.3569501042366028,0.49095702171325684,0.6909999847412109,0.125,3.0,0.5959999561309814,56.0,28.0,1.899999976158142,0.0,10.0,0.0,0.0,1.0,0.3569501042366028,0.0,0.0,8.024999618530273,11.86859130859375,3.2148678302764893,1.0,10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
4,2.0,USA,USA,0.0,1949.0,0.0,0.0,0.0,0.0,0.0,,,,,,,147987.0,11.904879570007324,10.0,8.039999961853027,3.0,8.270000457763672,9.020389556884766,11.886734962463379,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.900001525878906,3.2148678302764893,6280.0,0.0,1.0,0.3569501042366028,0.49095702171325684,0.6909999847412109,0.125,3.0,0.5959999561309814,56.0,28.0,1.899999976158142,0.0,10.0,0.0,0.0,1.0,0.3569501042366028,0.0,0.0,8.270000457763672,11.886734962463379,3.2148678302764893,1.0,10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
5,2.0,USA,USA,0.0,1950.0,0.0,0.0,0.0,0.0,0.0,,,,,,,152273.0,11.933430671691895,10.0,8.772000312805176,0.0,8.039999961853027,8.99218463897705,11.904879570007324,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.900001525878906,3.2148678302764893,6280.0,0.0,1.0,0.3569501042366028,0.49095702171325684,0.6909999847412109,0.125,3.0,0.5959999561309814,56.0,28.0,1.899999976158142,0.0,10.0,0.0,0.0,1.0,0.3569501042366028,0.0,0.0,8.039999961853027,11.904879570007324,3.2148678302764893,1.0,10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
6,2.0,USA,USA,0.0,1951.0,0.0,0.0,0.0,0.0,0.0,,,,,,,155000.0,11.951180458068848,10.0,9.109000205993652,0.0,8.772000312805176,9.079319953918457,11.933430671691895,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.900001525878906,3.2148678302764893,6280.0,0.0,1.0,0.3569501042366028,0.49095702171325684,0.6909999847412109,0.125,3.0,0.5959999561309814,56.0,28.0,1.899999976158142,0.0,10.0,0.0,0.0,1.0,0.35695013403892517,0.0,0.0,8.772000312805176,11.933430671691895,3.2148678302764893,1.0,10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
7,2.0,USA,USA,0.0,1952.0,0.0,0.0,0.0,0.0,0.0,,,,,,,157727.0,11.968621253967285,10.0,9.074000358581543,0.0,9.109000205993652,9.11701774597168,11.951180458068848,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.900001525878906,3.2148678302764893,6280.0,0.0,1.0,0.3569501042366028,0.49095702171325684,0.6909999847412109,0.125,3.0,0.5959999561309814,56.0,28.0,1.899999976158142,0.0,10.0,0.0,0.0,1.0,0.35695013403892517,0.0,0.0,9.109000205993652,11.951180458068848,3.2148678302764893,1.0,10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
8,2.0,USA,USA,0.0,1953.0,0.0,0.0,0.0,0.0,0.0,,,,,,,160475.0,11.985893249511719,10.0,9.300000190734863,0.0,9.074000358581543,9.113168716430664,11.968621253967285,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.900001525878906,3.2148678302764893,6280.0,0.0,1.0,0.3569501042366028,0.49095702171325684,0.6909999847412109,0.125,3.0,0.5959999561309814,56.0,28.0,1.899999976158142,0.0,10.0,0.0,0.0,1.0,0.3569501042366028,0.0,0.0,9.074000358581543,11.968621253967285,3.2148678302764893,1.0,10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
9,2.0,USA,USA,0.0,1954.0,0.0,0.0,0.0,0.0,0.0,,,,,,,163202.0,12.0027437210083,10.0,9.08899974822998,0.0,9.300000190734863,9.13776969909668,11.985893249511719,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.900001525878906,3.2148678302764893,6280.0,0.0,1.0,0.3569501042366028,0.49095702171325684,0.6909999847412109,0.125,3.0,0.5959999561309814,56.0,28.0,1.899999976158142,0.0,10.0,0.0,0.0,1.0,0.3569501042366028,0.0,0.0,9.300000190734863,11.985893249511719,3.2148678302764893,1.0,10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
